GroupID,Date,Category,Total Expense,Group Size,Member Expense Share
1,2022-01,Food,2985.47,5,597.09
1,2022-01,Housing,7506.93,5,1501.39
1,2022-01,Utilities,1257.45,5,251.49
1,2022-01,Transportation,888.35,5,177.67
1,2022-01,Entertainment,642.5,5,128.5
1,2022-01,Recurring Payments,1184.11,5,236.82
1,2022-01,Miscellaneous,352.83,5,70.57
1,2022-01,Healthcare,560.38,5,112.08
1,2022-01,Savings,1876.34,5,375.27
1,2022-01,Taxes,1487.04,5,297.41
1,2022-02,Food,3333.4,5,666.68
1,2022-02,Housing,7506.93,5,1501.39
1,2022-02,Utilities,984.94,5,196.99
1,2022-02,Transportation,821.21,5,164.24
1,2022-02,Entertainment,479.22,5,95.84
1,2022-02,Recurring Payments,1184.11,5,236.82
1,2022-02,Miscellaneous,323.51,5,64.7
1,2022-02,Healthcare,722.1,5,144.42
1,2022-02,Savings,2048.04,5,409.61
1,2022-02,Taxes,1507.77,5,301.55
1,2022-03,Food,2790.31,5,558.06
1,2022-03,Housing,7506.93,5,1501.39
1,2022-03,Utilities,1107.79,5,221.56
1,2022-03,Transportation,750.66,5,150.13
1,2022-03,Entertainment,478.92,5,95.78
1,2022-03,Recurring Payments,1184.11,5,236.82
1,2022-03,Miscellaneous,374.22,5,74.84
1,2022-03,Healthcare,711.17,5,142.23
1,2022-03,Savings,1785.87,5,357.17
1,2022-03,Taxes,1534.83,5,306.97
1,2022-04,Food,2309.01,5,461.8
1,2022-04,Housing,7506.93,5,1501.39
1,2022-04,Utilities,968.6,5,193.72
1,2022-04,Transportation,708.81,5,141.76
1,2022-04,Entertainment,543.27,5,108.65
1,2022-04,Recurring Payments,1184.11,5,236.82
1,2022-04,Miscellaneous,319.7,5,63.94
1,2022-04,Healthcare,525.91,5,105.18
1,2022-04,Savings,1594.4,5,318.88
1,2022-04,Taxes,1255.79,5,251.16
1,2022-05,Food,2461.1,5,492.22
1,2022-05,Housing,7506.93,5,1501.39
1,2022-05,Utilities,938.59,5,187.72
1,2022-05,Transportation,847.92,5,169.58
1,2022-05,Entertainment,491.26,5,98.25
1,2022-05,Recurring Payments,1184.11,5,236.82
1,2022-05,Miscellaneous,359.01,5,71.8
1,2022-05,Healthcare,642.55,5,128.51
1,2022-05,Savings,1974.94,5,394.99
1,2022-05,Taxes,1436.82,5,287.36
1,2022-06,Food,3006.12,5,601.22
1,2022-06,Housing,7506.93,5,1501.39
1,2022-06,Utilities,1029.06,5,205.81
1,2022-06,Transportation,949.22,5,189.84
1,2022-06,Entertainment,660.47,5,132.09
1,2022-06,Recurring Payments,1184.11,5,236.82
1,2022-06,Miscellaneous,327.38,5,65.48
1,2022-06,Healthcare,612.13,5,122.43
1,2022-06,Savings,2101.48,5,420.3
1,2022-06,Taxes,1480.74,5,296.15
1,2022-07,Food,2539.04,5,507.81
1,2022-07,Housing,7506.93,5,1501.39
1,2022-07,Utilities,929.98,5,186
1,2022-07,Transportation,877.64,5,175.53
1,2022-07,Entertainment,480.06,5,96.01
1,2022-07,Recurring Payments,1184.11,5,236.82
1,2022-07,Miscellaneous,461.1,5,92.22
1,2022-07,Healthcare,466.24,5,93.25
1,2022-07,Savings,1527.57,5,305.51
1,2022-07,Taxes,1760.5,5,352.1
1,2022-08,Food,2588.03,5,517.61
1,2022-08,Housing,7506.93,5,1501.39
1,2022-08,Utilities,1155.22,5,231.04
1,2022-08,Transportation,751.36,5,150.27
1,2022-08,Entertainment,541.55,5,108.31
1,2022-08,Recurring Payments,1184.11,5,236.82
1,2022-08,Miscellaneous,377.33,5,75.47
1,2022-08,Healthcare,532.09,5,106.42
1,2022-08,Savings,2079.65,5,415.93
1,2022-08,Taxes,1996.72,5,399.34
1,2022-09,Food,2872.36,5,574.47
1,2022-09,Housing,7506.93,5,1501.39
1,2022-09,Utilities,964.09,5,192.82
1,2022-09,Transportation,763.13,5,152.63
1,2022-09,Entertainment,535.88,5,107.18
1,2022-09,Recurring Payments,1184.11,5,236.82
1,2022-09,Miscellaneous,326.19,5,65.24
1,2022-09,Healthcare,580.1,5,116.02
1,2022-09,Savings,1956.16,5,391.23
1,2022-09,Taxes,1346.55,5,269.31
1,2022-10,Food,2411.61,5,482.32
1,2022-10,Housing,7506.93,5,1501.39
1,2022-10,Utilities,1138.92,5,227.78
1,2022-10,Transportation,822.01,5,164.4
1,2022-10,Entertainment,555.83,5,111.17
1,2022-10,Recurring Payments,1184.11,5,236.82
1,2022-10,Miscellaneous,378.14,5,75.63
1,2022-10,Healthcare,559.81,5,111.96
1,2022-10,Savings,1876.47,5,375.29
1,2022-10,Taxes,1689.76,5,337.95
1,2022-11,Food,2441.97,5,488.39
1,2022-11,Housing,7506.93,5,1501.39
1,2022-11,Utilities,1073.57,5,214.71
1,2022-11,Transportation,798.72,5,159.74
1,2022-11,Entertainment,438.15,5,87.63
1,2022-11,Recurring Payments,1184.11,5,236.82
1,2022-11,Miscellaneous,359.7,5,71.94
1,2022-11,Healthcare,568.02,5,113.6
1,2022-11,Savings,2329.24,5,465.85
1,2022-11,Taxes,1645.69,5,329.14
1,2022-12,Food,2289.44,5,457.89
1,2022-12,Housing,7506.93,5,1501.39
1,2022-12,Utilities,1210.74,5,242.15
1,2022-12,Transportation,840.83,5,168.17
1,2022-12,Entertainment,665.47,5,133.09
1,2022-12,Recurring Payments,1184.11,5,236.82
1,2022-12,Miscellaneous,365.09,5,73.02
1,2022-12,Healthcare,788.79,5,157.76
1,2022-12,Savings,1518.66,5,303.73
1,2022-12,Taxes,1570.68,5,314.14
1,2023-01,Food,3131.03,5,626.21
1,2023-01,Housing,7506.93,5,1501.39
1,2023-01,Utilities,1302.17,5,260.43
1,2023-01,Transportation,948.66,5,189.73
1,2023-01,Entertainment,549.71,5,109.94
1,2023-01,Recurring Payments,1184.11,5,236.82
1,2023-01,Miscellaneous,282.38,5,56.48
1,2023-01,Healthcare,605.64,5,121.13
1,2023-01,Savings,1737.76,5,347.55
1,2023-01,Taxes,1349.91,5,269.98
1,2023-02,Food,2980.72,5,596.14
1,2023-02,Housing,7506.93,5,1501.39
1,2023-02,Utilities,954.03,5,190.81
1,2023-02,Transportation,722.26,5,144.45
1,2023-02,Entertainment,529.65,5,105.93
1,2023-02,Recurring Payments,1184.11,5,236.82
1,2023-02,Miscellaneous,383.43,5,76.69
1,2023-02,Healthcare,763.78,5,152.76
1,2023-02,Savings,2440.98,5,488.2
1,2023-02,Taxes,1409.7,5,281.94
1,2023-03,Food,2303.62,5,460.72
1,2023-03,Housing,7506.93,5,1501.39
1,2023-03,Utilities,955,5,191
1,2023-03,Transportation,799.24,5,159.85
1,2023-03,Entertainment,550.89,5,110.18
1,2023-03,Recurring Payments,1184.11,5,236.82
1,2023-03,Miscellaneous,374.4,5,74.88
1,2023-03,Healthcare,679.7,5,135.94
1,2023-03,Savings,1968.05,5,393.61
1,2023-03,Taxes,1544.65,5,308.93
1,2023-04,Food,2835.69,5,567.14
1,2023-04,Housing,7506.93,5,1501.39
1,2023-04,Utilities,910.77,5,182.15
1,2023-04,Transportation,583.19,5,116.64
1,2023-04,Entertainment,513.58,5,102.72
1,2023-04,Recurring Payments,1184.11,5,236.82
1,2023-04,Miscellaneous,302.98,5,60.6
1,2023-04,Healthcare,586.63,5,117.33
1,2023-04,Savings,2190.57,5,438.11
1,2023-04,Taxes,1815.12,5,363.02
1,2023-05,Food,2881.37,5,576.27
1,2023-05,Housing,7506.93,5,1501.39
1,2023-05,Utilities,787.48,5,157.5
1,2023-05,Transportation,780.48,5,156.1
1,2023-05,Entertainment,485.97,5,97.19
1,2023-05,Recurring Payments,1184.11,5,236.82
1,2023-05,Miscellaneous,395.38,5,79.08
1,2023-05,Healthcare,644.56,5,128.91
1,2023-05,Savings,1745.93,5,349.19
1,2023-05,Taxes,1525.88,5,305.18
1,2023-06,Food,3242.93,5,648.59
1,2023-06,Housing,7506.93,5,1501.39
1,2023-06,Utilities,1240.62,5,248.12
1,2023-06,Transportation,831.31,5,166.26
1,2023-06,Entertainment,532.77,5,106.55
1,2023-06,Recurring Payments,1184.11,5,236.82
1,2023-06,Miscellaneous,343.54,5,68.71
1,2023-06,Healthcare,659.45,5,131.89
1,2023-06,Savings,1780.58,5,356.12
1,2023-06,Taxes,1659.74,5,331.95
1,2023-07,Food,2919.21,5,583.84
1,2023-07,Housing,7506.93,5,1501.39
1,2023-07,Utilities,1315.29,5,263.06
1,2023-07,Transportation,878.29,5,175.66
1,2023-07,Entertainment,639.27,5,127.85
1,2023-07,Recurring Payments,1184.11,5,236.82
1,2023-07,Miscellaneous,386.8,5,77.36
1,2023-07,Healthcare,651.72,5,130.34
1,2023-07,Savings,1860.97,5,372.19
1,2023-07,Taxes,1675.54,5,335.11
1,2023-08,Food,2678.55,5,535.71
1,2023-08,Housing,7506.93,5,1501.39
1,2023-08,Utilities,1002.89,5,200.58
1,2023-08,Transportation,840.98,5,168.2
1,2023-08,Entertainment,452.01,5,90.4
1,2023-08,Recurring Payments,1184.11,5,236.82
1,2023-08,Miscellaneous,360.7,5,72.14
1,2023-08,Healthcare,551.37,5,110.27
1,2023-08,Savings,1686.65,5,337.33
1,2023-08,Taxes,1384.84,5,276.97
1,2023-09,Food,2462.13,5,492.43
1,2023-09,Housing,7506.93,5,1501.39
1,2023-09,Utilities,728.25,5,145.65
1,2023-09,Transportation,851.28,5,170.26
1,2023-09,Entertainment,476.91,5,95.38
1,2023-09,Recurring Payments,1184.11,5,236.82
1,2023-09,Miscellaneous,295.4,5,59.08
1,2023-09,Healthcare,653.56,5,130.71
1,2023-09,Savings,1888.94,5,377.79
1,2023-09,Taxes,1687.76,5,337.55
1,2023-10,Food,2845.4,5,569.08
1,2023-10,Housing,7506.93,5,1501.39
1,2023-10,Utilities,1089.66,5,217.93
1,2023-10,Transportation,845.79,5,169.16
1,2023-10,Entertainment,529.93,5,105.99
1,2023-10,Recurring Payments,1184.11,5,236.82
1,2023-10,Miscellaneous,374.87,5,74.97
1,2023-10,Healthcare,586.39,5,117.28
1,2023-10,Savings,2031.33,5,406.27
1,2023-10,Taxes,1638.61,5,327.72
1,2023-11,Food,2645.5,5,529.1
1,2023-11,Housing,7506.93,5,1501.39
1,2023-11,Utilities,1073.11,5,214.62
1,2023-11,Transportation,770.5,5,154.1
1,2023-11,Entertainment,547.45,5,109.49
1,2023-11,Recurring Payments,1184.11,5,236.82
1,2023-11,Miscellaneous,355.16,5,71.03
1,2023-11,Healthcare,657.97,5,131.59
1,2023-11,Savings,2066.98,5,413.4
1,2023-11,Taxes,1417.95,5,283.59
1,2023-12,Food,3114.87,5,622.97
1,2023-12,Housing,7506.93,5,1501.39
1,2023-12,Utilities,1085.73,5,217.15
1,2023-12,Transportation,968.43,5,193.69
1,2023-12,Entertainment,661.51,5,132.3
1,2023-12,Recurring Payments,1184.11,5,236.82
1,2023-12,Miscellaneous,372.14,5,74.43
1,2023-12,Healthcare,610.28,5,122.06
1,2023-12,Savings,1620.86,5,324.17
1,2023-12,Taxes,1561.68,5,312.34
1,2024-01,Food,2818.49,5,563.7
1,2024-01,Housing,7506.93,5,1501.39
1,2024-01,Utilities,1006.72,5,201.34
1,2024-01,Transportation,841.59,5,168.32
1,2024-01,Entertainment,669.26,5,133.85
1,2024-01,Recurring Payments,1184.11,5,236.82
1,2024-01,Miscellaneous,291.67,5,58.33
1,2024-01,Healthcare,652.42,5,130.48
1,2024-01,Savings,2070.02,5,414
1,2024-01,Taxes,1444.34,5,288.87
1,2024-02,Food,2972.32,5,594.46
1,2024-02,Housing,7506.93,5,1501.39
1,2024-02,Utilities,1286.4,5,257.28
1,2024-02,Transportation,755.47,5,151.09
1,2024-02,Entertainment,598.12,5,119.62
1,2024-02,Recurring Payments,1184.11,5,236.82
1,2024-02,Miscellaneous,365.19,5,73.04
1,2024-02,Healthcare,557.92,5,111.58
1,2024-02,Savings,2391.35,5,478.27
1,2024-02,Taxes,1362.98,5,272.6
1,2024-03,Food,2687.8,5,537.56
1,2024-03,Housing,7506.93,5,1501.39
1,2024-03,Utilities,1024.19,5,204.84
1,2024-03,Transportation,751.91,5,150.38
1,2024-03,Entertainment,473.47,5,94.69
1,2024-03,Recurring Payments,1184.11,5,236.82
1,2024-03,Miscellaneous,391.06,5,78.21
1,2024-03,Healthcare,646.06,5,129.21
1,2024-03,Savings,1819.82,5,363.96
1,2024-03,Taxes,1549.22,5,309.84
1,2024-04,Food,3034.49,5,606.9
1,2024-04,Housing,7506.93,5,1501.39
1,2024-04,Utilities,1172.35,5,234.47
1,2024-04,Transportation,592.79,5,118.56
1,2024-04,Entertainment,454.96,5,90.99
1,2024-04,Recurring Payments,1184.11,5,236.82
1,2024-04,Miscellaneous,408.85,5,81.77
1,2024-04,Healthcare,491.98,5,98.4
1,2024-04,Savings,1678.16,5,335.63
1,2024-04,Taxes,1462.88,5,292.58
1,2024-05,Food,2246.57,5,449.31
1,2024-05,Housing,7506.93,5,1501.39
1,2024-05,Utilities,863.49,5,172.7
1,2024-05,Transportation,636.63,5,127.33
1,2024-05,Entertainment,514.41,5,102.88
1,2024-05,Recurring Payments,1184.11,5,236.82
1,2024-05,Miscellaneous,405.29,5,81.06
1,2024-05,Healthcare,744.05,5,148.81
1,2024-05,Savings,1947.49,5,389.5
1,2024-05,Taxes,1515.89,5,303.18
1,2024-06,Food,3307.09,5,661.42
1,2024-06,Housing,7506.93,5,1501.39
1,2024-06,Utilities,1096.18,5,219.24
1,2024-06,Transportation,847.72,5,169.54
1,2024-06,Entertainment,595.64,5,119.13
1,2024-06,Recurring Payments,1184.11,5,236.82
1,2024-06,Miscellaneous,374.65,5,74.93
1,2024-06,Healthcare,655.46,5,131.09
1,2024-06,Savings,2145.03,5,429.01
1,2024-06,Taxes,1464.06,5,292.81
1,2024-07,Food,2389.99,5,478
1,2024-07,Housing,7506.93,5,1501.39
1,2024-07,Utilities,1163.42,5,232.68
1,2024-07,Transportation,874.09,5,174.82
1,2024-07,Entertainment,513.48,5,102.7
1,2024-07,Recurring Payments,1184.11,5,236.82
1,2024-07,Miscellaneous,415.8,5,83.16
1,2024-07,Healthcare,603.14,5,120.63
1,2024-07,Savings,2052.55,5,410.51
1,2024-07,Taxes,1452.66,5,290.53
1,2024-08,Food,2923.3,5,584.66
1,2024-08,Housing,7506.93,5,1501.39
1,2024-08,Utilities,1157.3,5,231.46
1,2024-08,Transportation,928.86,5,185.77
1,2024-08,Entertainment,639.86,5,127.97
1,2024-08,Recurring Payments,1184.11,5,236.82
1,2024-08,Miscellaneous,375.98,5,75.2
1,2024-08,Healthcare,545.45,5,109.09
1,2024-08,Savings,1840.57,5,368.11
1,2024-08,Taxes,1559.61,5,311.92
1,2024-09,Food,3233.35,5,646.67
1,2024-09,Housing,7506.93,5,1501.39
1,2024-09,Utilities,992.52,5,198.5
1,2024-09,Transportation,796.69,5,159.34
1,2024-09,Entertainment,531.49,5,106.3
1,2024-09,Recurring Payments,1184.11,5,236.82
1,2024-09,Miscellaneous,418.48,5,83.7
1,2024-09,Healthcare,552.24,5,110.45
1,2024-09,Savings,1956.54,5,391.31
